text,lang,agency,money,channel,detention,document,allegation
"police stopped me saying I have no licence, they want 100k by POS",en,police,1,cash_or_pos,0,0,licence
"la police m'a arrêté disant que je n'ai pas de permis, ils veulent 100000 par terminal",fr,police,1,cash_or_pos,0,0,licence
"a polícia me parou dizendo que não tenho carteira, querem 100 mil pela maquininha",pt,police,1,cash_or_pos,0,0,licence
they say I should settle them before they release my car,en,unclear,1,cash_or_pos,0,1,none_stated
ils disent que je dois m'arranger avec eux avant qu'ils rendent ma voiture,fr,unclear,1,cash_or_pos,0,1,none_stated
dizem que tenho que acertar com eles antes de liberarem meu carro,pt,unclear,1,cash_or_pos,0,1,none_stated
the officer took my key and said I should drop something,en,police,1,cash_or_pos,0,1,none_stated
l'agent a pris ma clé et dit que je dois laisser quelque chose,fr,police,1,cash_or_pos,0,1,none_stated
o agente pegou minha chave e disse para eu deixar alguma coisa,pt,police,1,cash_or_pos,0,1,none_stated
FRSC stopped me for tint and gave me a paper to pay at the bank,en,frsc,1,official,0,0,other_offence
la FRSC m'a arrêté pour les vitres teintées et donné un papier à payer à la banque,fr,frsc,1,official,0,0,other_offence
a FRSC me parou pelo insulfilm e me deu um papel para pagar no banco,pt,frsc,1,official,0,0,other_offence
they say I must follow them to the station if I do not pay,en,police,1,cash_or_pos,1,0,none_stated
ils disent que je dois les suivre au poste si je ne paie pas,fr,police,1,cash_or_pos,1,0,none_stated
dizem que tenho que ir com eles para a delegacia se não pagar,pt,police,1,cash_or_pos,1,0,none_stated
a soldier on the road is asking for money,en,army,1,cash_or_pos,0,0,none_stated
un soldat sur la route demande de l'argent,fr,army,1,cash_or_pos,0,0,none_stated
um soldado na estrada está pedindo dinheiro,pt,army,1,cash_or_pos,0,0,none_stated
VIO took my particulars and said I should come to the office,en,vio,0,none_stated,0,1,particulars
le VIO a pris mes papiers et dit de venir au bureau,fr,vio,0,none_stated,0,1,particulars
o VIO pegou meus documentos e disse para eu ir ao escritório,pt,vio,0,none_stated,0,1,particulars
police searched my boot then let me go,en,police,0,none_stated,0,0,search_only
la police a fouillé mon coffre puis m'a laissé partir,fr,police,0,none_stated,0,0,search_only
a polícia revistou meu porta-malas e me deixou ir,pt,police,0,none_stated,0,0,search_only
they are holding my licence and say I must pay 20k cash,en,police,1,cash_or_pos,0,1,licence
ils gardent mon permis et disent que je dois payer 20000 en espèces,fr,police,1,cash_or_pos,0,1,licence
estão com minha carteira e dizem que tenho que pagar 20 mil em dinheiro,pt,police,1,cash_or_pos,0,1,licence
FRSC gave me an official receipt after I paid the fine,en,frsc,1,official,0,0,none_stated
la FRSC m'a donné un reçu officiel après le paiement de l'amende,fr,frsc,1,official,0,0,none_stated
a FRSC me deu um recibo oficial depois que paguei a multa,pt,frsc,1,official,0,0,none_stated
the officer said I should enter their van,en,police,0,none_stated,1,0,none_stated
l'agent m'a dit de monter dans leur camionnette,fr,police,0,none_stated,1,0,none_stated
o agente mandou eu entrar na viatura deles,pt,police,0,none_stated,1,0,none_stated
they have wanted to take me to the station since morning,en,police,0,none_stated,1,0,none_stated
ils veulent m'emmener au poste depuis ce matin,fr,police,0,none_stated,1,0,none_stated
querem me levar para a delegacia desde de manhã,pt,police,0,none_stated,1,0,none_stated
they took my phone and gave me no paper,en,police,0,none_stated,0,1,particulars
ils ont pris mon téléphone sans me donner de papier,fr,police,0,none_stated,0,1,particulars
pegaram meu telefone e não me deram nenhum papel,pt,police,0,none_stated,0,1,particulars
police say I should transfer to his personal account,en,police,1,cash_or_pos,0,0,none_stated
le policier dit de virer sur son compte personnel,fr,police,1,cash_or_pos,0,0,none_stated
o policial disse para transferir para a conta pessoal dele,pt,police,1,cash_or_pos,0,0,none_stated
they asked for 5k before releasing my car,en,unclear,1,cash_or_pos,0,1,none_stated
ils demandent 5000 avant de rendre ma voiture,fr,unclear,1,cash_or_pos,0,1,none_stated
pediram 5 mil antes de liberar meu carro,pt,unclear,1,cash_or_pos,0,1,none_stated
the officer just checked my particulars and waved me on,en,police,0,none_stated,0,0,particulars
l'agent a simplement vérifié mes papiers et m'a fait signe de passer,fr,police,0,none_stated,0,0,particulars
o agente só conferiu meus documentos e me liberou,pt,police,0,none_stated,0,0,particulars
they say I will sleep in a cell if I do not bring money,en,police,1,cash_or_pos,1,0,none_stated
ils disent que je dormirai en cellule si je n'apporte pas d'argent,fr,police,1,cash_or_pos,1,0,none_stated
dizem que vou dormir na cela se não trouxer dinheiro,pt,police,1,cash_or_pos,1,0,none_stated
FRSC booked me and gave me a ticket number,en,frsc,1,official,0,0,none_stated
la FRSC m'a verbalisé et donné un numéro de contravention,fr,frsc,1,official,0,0,none_stated
a FRSC me autuou e me deu um número de notificação,pt,frsc,1,official,0,0,none_stated
police have been holding my vehicle documents since yesterday,en,police,0,none_stated,0,1,particulars
la police garde mes papiers de voiture depuis hier,fr,police,0,none_stated,0,1,particulars
a polícia está com os documentos do meu carro desde ontem,pt,police,0,none_stated,0,1,particulars
"they did not ask for money, they only searched my bag",en,unclear,0,none_stated,0,0,search_only
"ils n'ont pas demandé d'argent, ils ont seulement fouillé mon sac",fr,unclear,0,none_stated,0,0,search_only
"não pediram dinheiro, só revistaram minha bolsa",pt,unclear,0,none_stated,0,0,search_only
a soldier took my key and said I should settle,en,army,1,cash_or_pos,0,1,none_stated
un soldat a pris ma clé et dit de m'arranger avec lui,fr,army,1,cash_or_pos,0,1,none_stated
um soldado pegou minha chave e disse para eu acertar com ele,pt,army,1,cash_or_pos,0,1,none_stated
VIO says my papers are not complete and wants 15k,en,vio,1,cash_or_pos,0,1,particulars
le VIO dit que mes papiers sont incomplets et veut 15000,fr,vio,1,cash_or_pos,0,1,particulars
o VIO diz que meus papéis estão incompletos e quer 15 mil,pt,vio,1,cash_or_pos,0,1,particulars
the officer asked me to pay into a government account,en,police,1,official,0,0,none_stated
l'agent m'a demandé de payer sur un compte de l'État,fr,police,1,official,0,0,none_stated
o agente pediu para eu pagar numa conta do governo,pt,police,1,official,0,0,none_stated
they have locked me in the station since last night,en,police,0,none_stated,1,0,none_stated
ils m'ont enfermé au poste depuis cette nuit,fr,police,0,none_stated,1,0,none_stated
me trancaram na delegacia desde a noite,pt,police,0,none_stated,1,0,none_stated
police say bring 50k or they take me to the station,en,police,1,cash_or_pos,1,0,none_stated
la police dit d'apporter 50000 sinon ils m'emmènent au poste,fr,police,1,cash_or_pos,1,0,none_stated
a polícia disse para trazer 50 mil ou me levam para a delegacia,pt,police,1,cash_or_pos,1,0,none_stated
they searched the car and found nothing so I left,en,police,0,none_stated,0,0,search_only
ils ont fouillé la voiture sans rien trouver et je suis parti,fr,police,0,none_stated,0,0,search_only
"revistaram o carro e não acharam nada, então fui embora",pt,police,0,none_stated,0,0,search_only
an officer is demanding cash before he returns my licence,en,police,1,cash_or_pos,0,1,licence
un agent exige de l'argent avant de rendre mon permis,fr,police,1,cash_or_pos,0,1,licence
um agente exige dinheiro antes de devolver minha carteira,pt,police,1,cash_or_pos,0,1,licence
FRSC issued a formal notice for the offence,en,frsc,1,official,0,0,none_stated
la FRSC a délivré un avis officiel pour l'infraction,fr,frsc,1,official,0,0,none_stated
a FRSC emitiu uma notificação formal pela infração,pt,frsc,1,official,0,0,none_stated
they are threatening to detain me overnight,en,police,0,none_stated,1,0,none_stated
ils menacent de me garder toute la nuit,fr,police,0,none_stated,1,0,none_stated
estão ameaçando me deter a noite toda,pt,police,0,none_stated,1,0,none_stated
