claim_id,lang,text
stop_search_public,en,can police stop and search me here on the road
stop_search_public,en,is it legal for them to search me in public
stop_search_public,en,they stopped me at the junction and want to search
stop_search_public,en,officer says he has a right to search me on the street
needs_reasonable_suspicion,en,do they need a reason before searching my car
needs_reasonable_suspicion,en,he is searching me without saying why
needs_reasonable_suspicion,en,can they search anybody they like at the checkpoint
needs_reasonable_suspicion,en,must there be suspicion before they search my vehicle
search_vehicle_boot,en,they want to open my boot
search_vehicle_boot,en,can they search inside my car
search_vehicle_boot,en,officer says I should open the trunk
search_vehicle_boot,en,they are going through my bag in the car
uniform_or_id_required,en,he is in plain clothes can he search me
uniform_or_id_required,en,the officer has no uniform and no ID
uniform_or_id_required,en,must a policeman be in uniform to stop me
uniform_or_id_required,en,he refused to show any identity card
explanation_can_end_search,en,I explained myself but they still want to search
explanation_can_end_search,en,can my explanation stop the search
explanation_can_end_search,en,does answering their question make a difference
explanation_can_end_search,en,they asked me questions then searched anyway
public_search_outer_only,en,how far can they search me at the roadside
public_search_outer_only,en,can they pat me down completely in public
public_search_outer_only,en,he is going into my pockets on the street
public_search_outer_only,en,what level of search is allowed in public
same_sex_private_search,en,a male officer wants to search me and I am a woman
same_sex_private_search,en,can a man search a female at a checkpoint
same_sex_private_search,en,they want a thorough search in front of everyone
same_sex_private_search,en,must a female officer search a woman
force_last_resort,en,they are using force on me
force_last_resort,en,can they search me by force if I refuse
force_last_resort,en,he grabbed me when I said no
force_last_resort,en,are they allowed to force a search
reasonable_time_only,en,they have kept me here two hours for a search
reasonable_time_only,en,how long can they hold me at a checkpoint
reasonable_time_only,en,is there a time limit on a search stop
reasonable_time_only,en,they are delaying me for no reason
undress_in_public,en,they told me to remove my shirt at the roadside
undress_in_public,en,can police make me undress during a search
undress_in_public,en,they want me to strip in front of everybody
undress_in_public,en,is it allowed to make me take off my clothes in public
search_recorded,en,should they write down that they searched me
search_recorded,en,is there supposed to be a record of the search
search_recorded,en,they searched me but wrote nothing
search_recorded,en,must a search be recorded in writing
inventory_for_seized,en,they took my things is there paperwork
inventory_for_seized,en,should I get a list of what they collected
inventory_for_seized,en,he seized my property without any receipt
inventory_for_seized,en,must they record what they take from me
property_back_if_no_charge,en,they kept my property and never charged me
property_back_if_no_charge,en,do I get my things back if there is no case
property_back_if_no_charge,en,no charge was filed but they still have my phone
property_back_if_no_charge,en,must they return my property if released
give_name_and_address,en,do I have to tell them my name
give_name_and_address,en,can I refuse to give my address
give_name_and_address,en,they are demanding my name and where I live
give_name_and_address,en,what if I do not want to identify myself
unlock_my_phone,en,they are asking me to unlock my phone
unlock_my_phone,en,can police search my phone at a stop
unlock_my_phone,en,officer wants my phone password
unlock_my_phone,en,do I have to give them my phone to look through
search_my_house,en,they say the same power lets them enter my house
search_my_house,en,can they search my home during a stop and search
search_my_house,en,officer wants to follow me home and search
search_my_house,en,does stop and search cover a private residence
bail_within_24_hours,en,they have kept me since yesterday without court
bail_within_24_hours,en,how long can police hold me before court
bail_within_24_hours,en,they said they will keep me till Monday
bail_within_24_hours,en,is there a time limit before they must let me go
bail_is_free,en,they are asking me to pay for bail
bail_is_free,en,I thought bail is free why am I paying
bail_is_free,en,officer says bail costs money
bail_is_free,en,is it legal to charge me for bail
before_search_disclosure,en,he will not tell me his name
before_search_disclosure,en,I asked which station he is from and he refused
before_search_disclosure,en,must he say who he is before searching me
before_search_disclosure,en,he will not say what he is looking for
before_search_disclosure,en,they started searching without explaining anything
before_search_disclosure,en,what are they obliged to tell me first
before_search_disclosure,en,"dem just start search, no explanation"
before_search_disclosure,en,officer suppose talk him name and station first
stop_search_public,en,are roadside checkpoints legal at all
stop_search_public,en,can they stop me on a public highway
stop_search_public,en,checkpoint dey legal at all
needs_reasonable_suspicion,en,what counts as a reason to search someone
needs_reasonable_suspicion,en,he has no grounds but insists on searching
search_vehicle_boot,en,must I open my boot for them
search_vehicle_boot,en,they want to look inside my luggage
search_vehicle_boot,en,dem wan check inside my load
public_search_outer_only,en,can he put his hands inside my pockets
public_search_outer_only,en,is a full body search allowed on the road
public_search_outer_only,en,full body search dey allowed for road
same_sex_private_search,en,I am a woman and there is no female officer here
same_sex_private_search,en,where should a thorough search happen
inventory_for_seized,en,he took my documents and gave me nothing
inventory_for_seized,en,what paperwork covers property they seize
bail_within_24_hours,en,it is past 24 hours and no court
bail_within_24_hours,en,they are holding me overnight
bail_within_24_hours,en,"e don pass 24 hours, no court"
bail_within_24_hours,en,dem dey hold me overnight
search_my_house,en,can a roadside stop turn into a house search
search_my_house,en,they want to drive me to my house and search it
search_my_house,en,dem wan carry me go my house go search
licence_fine_is_10k,en,how much is the fine for driving without licence
licence_fine_is_10k,en,what is the official fine for no licence
licence_fine_is_10k,en,they say the fine is 50k is that right
licence_fine_is_10k,en,what does the law say I should pay for no licence
fine_requires_conviction,en,can they collect the fine here on the road
fine_requires_conviction,en,must I pay them cash now
fine_requires_conviction,en,they want me to pay the fine at the checkpoint
fine_requires_conviction,en,do I pay a traffic fine to the officer directly
learner_permit_status,en,I have a learner's permit not a full licence
learner_permit_status,en,does a learner permit count as a licence
learner_permit_status,en,"I am still learning, I have my permit"
learner_permit_status,en,they say a learner permit is not enough
particulars_photocopy_ok,en,they say photocopy is not acceptable
particulars_photocopy_ok,en,officer insists on seeing the original papers
particulars_photocopy_ok,en,must I carry the original vehicle documents
particulars_photocopy_ok,en,they rejected my photocopy of the particulars
particulars_fine_is_3k,en,what is the fine for incomplete particulars
particulars_fine_is_3k,en,how much for not having vehicle papers
